id,company_id,code,name,un_ece_code,table_code,description,percentage,amount_min
currency_code_68,,INR,Indian Rupee,,PE.CURRENCY.CODE,India,,
currency_code_69,,IQD,Iraqi Dinar,,PE.CURRENCY.CODE,Iraq,,
currency_code_70,,IRR,Iranian Rial,,PE.CURRENCY.CODE,Irán,,
currency_code_71,,ISK,Iceland Krona,,PE.CURRENCY.CODE,Islandia,,
currency_code_72,,JMD,Jamaican Dollar,,PE.CURRENCY.CODE,Jamaica,,
currency_code_73,,JOD,Jordanian Dinar,,PE.CURRENCY.CODE,Jordania,,
currency_code_74,,JPY,Yen,,PE.CURRENCY.CODE,Japón,,
currency_code_75,,KES,Kenyan Shilling,,PE.CURRENCY.CODE,Kenia,,
currency_code_76,,KGS,Som,,PE.CURRENCY.CODE,Kirguistán,,
currency_code_77,,KHR,Riel,,PE.CURRENCY.CODE,Camboya,,
currency_code_78,,KMF,Comoro Franc,,PE.CURRENCY.CODE,Comoras,,
currency_code_79,,KPW,North Korean Won,,PE.CURRENCY.CODE,Corea (del Norte),,
currency_code_80,,KRW,Won,,PE.CURRENCY.CODE,Corea (del Sur),,
currency_code_81,,KWD,Kuwaiti Dinar,,PE.CURRENCY.CODE,Kuwait,,
currency_code_82,,KYD,Cayman Islands Dollar,,PE.CURRENCY.CODE,Islas Caimán,,
currency_code_83,,KZT,Tenge,,PE.CURRENCY.CODE,Kazajistán,,
currency_code_84,,LAK,Kip,,PE.CURRENCY.CODE,Laos,,
currency_code_85,,LBP,Lebanese Pound,,PE.CURRENCY.CODE,Líbano,,
currency_code_86,,LKR,Sri Lanka Rupee,,PE.CURRENCY.CODE,Sri Lanka,,
currency_code_87,,LRD,Liberian Dollar,,PE.CURRENCY.CODE,Liberia,,
currency_code_88,,LSL,Loti,,PE.CURRENCY.CODE,Lesoto,,
currency_code_89,,LTL,Lithuanian Litas,,PE.CURRENCY.CODE,Lituania,,
currency_code_90,,LVL,Latvian Lats,,PE.CURRENCY.CODE,Letonia,,
currency_code_91,,LYD,Libyan Dinar,,PE.CURRENCY.CODE,Libia,,
currency_code_92,,MAD,Moroccan Dirham,,PE.CURRENCY.CODE,Marruecos,,
currency_code_93,,MDL,Moldovan Leu,,PE.CURRENCY.CODE,Moldavia,,
currency_code_94,,MGA,Malagasy Ariary,,PE.CURRENCY.CODE,Madagascar,,
currency_code_95,,MKD,Denar,,PE.CURRENCY.CODE,Macedonia,,
currency_code_96,,MMK,Kyat,,PE.CURRENCY.CODE,Myanmar (Birmania),,
currency_code_97,,MNT,Tugrik,,PE.CURRENCY.CODE,Mongolia,,
currency_code_98,,MOP,Pataca,,PE.CURRENCY.CODE,Macao,,
currency_code_99,,MRO,Ouguiya,,PE.CURRENCY.CODE,Mauritania,,
currency_code_100,,MUR,Mauritius Rupee,,PE.CURRENCY.CODE,Mauricio,,
currency_code_101,,MVR,Rufiyaa,,PE.CURRENCY.CODE,Maldivas,,
currency_code_102,,MWK,Kwacha,,PE.CURRENCY.CODE,Malaui,,
currency_code_103,,MXN,Mexican Peso,,PE.CURRENCY.CODE,México,,
currency_code_104,,MXV,Mexican Unidad de Inversion (UDI),,PE.CURRENCY.CODE,México,,
currency_code_105,,MYR,Malaysian Ringgit,,PE.CURRENCY.CODE,Malasia,,
currency_code_106,,MZN,Metical,,PE.CURRENCY.CODE,Mozambique,,
currency_code_107,,NAD,Namibia Dollar,,PE.CURRENCY.CODE,Namibia,,
currency_code_108,,NGN,Naira,,PE.CURRENCY.CODE,Nigeria,,
currency_code_109,,NIO,Cordoba Oro,,PE.CURRENCY.CODE,Nicaragua,,
currency_code_110,,NOK,Norwegian Krone,,PE.CURRENCY.CODE,Noruega,,
currency_code_111,,NPR,Nepalese Rupee,,PE.CURRENCY.CODE,Nepal,,
currency_code_112,,NZD,New Zealand Dollar,,PE.CURRENCY.CODE,Nueva Zelanda,,
currency_code_113,,OMR,Rial Omani,,PE.CURRENCY.CODE,Omán,,
currency_code_114,,PAB,Balboa,,PE.CURRENCY.CODE,Panamá,,
currency_code_115,,PEN,Nuevo Sol o Sol,,PE.CURRENCY.CODE,Perú,,
currency_code_116,,PGK,Kina,,PE.CURRENCY.CODE,Papúa Nueva Guinea,,
currency_code_117,,PHP,Philippine Peso,,PE.CURRENCY.CODE,Filipinas,,
currency_code_118,,PKR,Pakistan Rupee,,PE.CURRENCY.CODE,Pakistán,,
currency_code_119,,PLN,Zloty,,PE.CURRENCY.CODE,Polonia,,
currency_code_120,,PYG,Guarani,,PE.CURRENCY.CODE,Paraguay,,
currency_code_121,,QAR,Qatari Rial,,PE.CURRENCY.CODE,Qatar,,
currency_code_122,,RON,New Leu,,PE.CURRENCY.CODE,Rumania,,
currency_code_123,,RSD,Serbian Dinar,,PE.CURRENCY.CODE,Serbia,,
currency_code_124,,RUB,Russian Ruble,,PE.CURRENCY.CODE,Rusia,,
